product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count
L'Oreal True Match Lumi Glotion,User_1472,Too glittery,This isn't a 'natural glow'. It has visible chunks of glitter in it. I look like a disco ball. Returning it.,1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 05, 2026",
L'Oreal True Match Lumi Glotion,User_9177,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 03, 2025",
L'Oreal True Match Lumi Glotion,User_3106,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 12, 2025",24 people found this helpful
L'Oreal True Match Lumi Glotion,User_3094,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 11, 2025",
L'Oreal True Match Lumi Glotion,User_8461,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 10, 2025",
L'Oreal True Match Lumi Glotion,User_9172,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 29, 2025",9 people found this helpful
L'Oreal True Match Lumi Glotion,User_2586,Greasy feeling,It just sat on top of my skin and felt very heavy and greasy. Did not blend well with my other skincare products.,2.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 08, 2026",
L'Oreal True Match Lumi Glotion,User_4362,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 17, 2026",44 people found this helpful
L'Oreal True Match Lumi Glotion,User_9615,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 19, 2025",
L'Oreal True Match Lumi Glotion,User_7362,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 09, 2025",
L'Oreal True Match Lumi Glotion,User_3298,Made me break out,"Unfortunately, this clogged my pores and caused a breakout on my cheeks. Might not be suitable for acne-prone skin.",2.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 08, 2025",36 people found this helpful
L'Oreal True Match Lumi Glotion,User_5740,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 12, 2025",
L'Oreal True Match Lumi Glotion,User_9724,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 29, 2025",31 people found this helpful
